ลำดับที่,ประเทศ / สัญชาติ,ชาย,หญิง,ไม่ทราบ,รวม
1,สาธารณรัฐอินเดีย / อินเดีย,60116,42417,32,102565
2,สหราชอาณาจักร / บริติช,32019,23724,9,55752
3,ออสเตรเลีย / ออสเตรเลีย,32215,23074,12,55301
4,สหพันธรัฐรัสเซีย / รัสเซีย,25777,28239,25,54041
5,สหพันธสาธารณรัฐเยอรมันนี / เยอรมัน,22902,16419,24,39345
6,สาธารณรัฐสิงคโปร์ / สิงคโปร์,20168,18918,15,39101
7,สาธารณรัฐฝรั่งเศส / ฝรั่งเศส,14622,10249,7,24878
8,สหรัฐอเมริกา / อเมริกัน,14107,10474,7,24588
9,รัฐอิสราเอล / อิสราเอล,12075,9968,7,22050
10,ราชอาณาจักรไทย / ไทย,5382,14410,11,19803
11,มาเลเซีย / มาเลเซีย,10481,8991,7,19479
12,สาธารณรัฐคาซัคสถาน / คาซัค,8010,10552,3,18565
13,ราชอาณาจักรสวีเดน / สวีเดน,6662,5555,4,12221
14,ราชอาณาจักรเดนมาร์ก / เดนมาร์ก,5576,5150,3,10729
15,ราชอาณาจักรซาอุดีอาระเบีย / ซาอุดีอาระเบีย,6146,3886,1,10033
16,สหรัฐอาหรับเอมิเรตส์ / สหรัฐอาหรับเอมิเรตส์,5597,3366,1,8964
17,สาธารณรัฐประชาชนจีน / จีน,3286,4640,2,7928
18,สมาพันธรัฐสวิส / สวิส,4226,2650,3,6879
19,สาธารณรัฐเกาหลี / เกาหลีใต้,3199,3433,1,6633
20,ราชอาณาจักรเนเธอร์แลนด์ / ดัตช์,3889,2552,0,6441
21,สาธารณรัฐอิตาลี / อิตาลี,4041,1875,1,5917
22,สาธารณรัฐแอฟริกาใต้ / แอฟริกาใต้,2836,3025,2,5863
23,สาธารณรัฐฟินแลนด์ / ฟินแลนด์,2776,2369,1,5146
24,แคนาดา / แคนาเดียน,3010,2095,1,5106
25,สาธารณรัฐฟิลิปปินส์ / ฟิลิปปินส์,1264,3784,1,5049
26,สาธารณรัฐสังคมนิยมเวียดนาม / เวียดนาม,1989,2887,1,4877
27,ยูเครน / ยูเครนเนียน,2109,2746,1,4856
28,รัฐกาตาร์ / กาตาร์,2497,1933,0,4430
29,สาธารณรัฐโปแลนด์ / โปแลนด์,2153,2097,4,4254
30,นิวซีแลนด์ / นิวซีแลนเดอร์,2402,1655,5,4062
31,ไอร์แลนด์ / ไอริช,2075,1668,0,3743
32,ราชอาณาจักรนอร์เวย์ / นอร์เวย์,2150,1578,0,3728
33,ราชอาณาจักรเบลเยียม / เบลเยียม,2332,1385,0,3717
34,รัฐคูเวต / คูเวต,2403,1272,2,3677
35,รัฐสุลต่านโอมาน / โอมาน,2021,1312,0,3333
36,สาธารณรัฐตุรกี / ตุรกี,2221,1057,2,3280
37,ราชอาณาจักรสเปน / สเปน,1839,1399,0,3238
38,สาธารณรัฐออสเตรีย / ออสเตรีย,1898,1279,1,3178
39,สาธารณรัฐอินโดนีเซีย / อินโดนีเซีย,1333,1835,1,3169
40,มองโกเลีย / มองโกเลีย,1336,1769,2,3107
41,สาธารณรัฐอิหร่าน / อิหร่าน,1650,1333,2,2985
42,สาธารณรัฐเอสโตเนีย / เอสโตเนียน,1516,1437,2,2955
43,ญี่ปุ่น / ญี่ปุ่น,1214,1271,0,2485
44,โรมาเนีย / โรมาเนีย,1164,1305,1,2470
45,สาธารณรัฐอิสลามปากีสถาน / ปากีสถาน,1357,641,2,2000
46,สาธารณรัฐเช็ก / เช็ก,1063,853,1,1917
47,สาธารณรัฐอียิปต์ / อียิปต์,1072,803,0,1875
48,สาธารณรัฐลิทัวเนีย / ลิทัวเนีย,850,860,0,1710
49,ฮ่องกง / ฮ่องกง,705,904,0,1609
50,สหพันธ์สาธารณรัฐบราซิล / บราซิล,741,747,3,1491
51,สาธารณรัฐฮังการี / ฮังการี,761,627,0,1388
52,สาธารณรัฐอุซเบกิสถาน / อุซเบก,820,473,0,1293
53,ราชอาณาจักรฮัชไมต์จอร์แดน / จอร์แดน,729,522,0,1251
54,สาธารณรัฐโปรตุเกส / โปรตุเกส,639,531,0,1170
55,สาธารณรัฐสโลวัก / สโลวัก,570,493,0,1063
56,สาธารณรัฐบัลแกเรีย / บัลแกเรีย,525,492,0,1017
57,สหภาพเมียนมา / เมียนมา,340,611,0,951
58,รัฐบาห์เรน / บาห์เรน,593,334,0,927
59,สาธารณรัฐลัตเวีย / ลัตเวีย,406,470,0,876
60,สาธารณรัฐเฮลเลนิก / กรีก,484,272,0,756
61,สาธารณรัฐเบลารุส / เบลารุส,364,360,0,724
62,ไต้หวัน / ไต้หวัน,258,387,0,645
63,ราชอาณาจักรโมร็อกโก / โมร็อกโก,341,275,0,616
64,สาธารณรัฐประชาชนบังกลาเทศ / บังกลาเทศ,303,189,0,492
65,เซอร์เบีย / เซอเบีย,260,221,0,481
66,สาธารณรัฐเยเมน / เยเมน,271,135,0,406
67,สาธารณรัฐสังคมนิยมประชาธิปไตยศรีลังกา / ศรีลังกา,270,134,0,404
68,สาธารณรัฐอาร์เจนตินา / อาร์เจนตินา,230,171,0,401
69,สหรัฐเม็กซิโก / เม็กซิโก,194,201,0,395
70,สาธารณรัฐโคลอมเบีย / โคลัมเบีย,167,206,0,373
71,สาธารณรัฐเลบานอน / เลบานอน,178,136,0,314
72,สาธารณรัฐสโลเวเนีย / สโลวีน,191,115,0,306
73,สาธารณรัฐชิลี / ชิลี,147,145,0,292
74,สาธารณรัฐอาหรับซีเรีย / ซีเรีย,179,98,0,277
75,ปาเลสไตน์ / ปาเลสไตน์เนียน,179,98,0,277
76,สหพันธ์สาธารณรัฐประชาธิปไตยเนปาล / เนปาล,146,128,0,274
77,สาธารณรัฐไอซ์แลนด์ / ไอซ์แลนด์,138,128,0,266
78,สาธารณรัฐมัลดีฟส์ / มัลดีฟ,160,101,0,261
79,สาธารณรัฐตูนีเซีย / ตูนิเซีย,117,123,0,240
80,สาธารณรัฐซูดาน / ซูดาน,143,69,0,212
81,สาธารณรัฐโครเอเชีย / โครเอเชีย,98,107,0,205
82,สาธารณรัฐคีร์กรีซ / คีร์กีซ,87,115,1,203
83,สาธารณรัฐเปรู / เปรู,87,108,0,195
84,ราชรัฐลักเซมเบิร์ก / ลักเซมเบิร์ก,103,79,0,182
85,ไม่ทราบ / ไม่ทราบ,126,52,0,178
86,สาธารณรัฐอิรัก / อิรัก,146,29,0,175
87,สาธารณรัฐแอลเบเนีย / แอลบาเนีย,93,63,0,156
88,สาธารณรัฐประชาธิปไตยประชาชนแอลจิเรีย / แอลจิเรีย,92,54,0,146
89,สาธารณรัฐไซปรัส / ไซปรัส,90,48,0,138
90,มอริเซียส / มอริเซียส,69,56,1,126
91,ราชอาณาจักรกัมพูชา / กัมพูชา,64,58,0,122
92,สาธารณรัฐเคนยา / เคนยา,43,69,0,112
93,สาธารณรัฐมอลตา / มอลตา,66,37,0,103
94,สาธารณรัฐประชาธิปไตยประชาชนลาว / ลาว,24,56,0,80
95,สาธารณรัฐบอสเนีย-เฮอร์เซโกวินา / บอสเนีย-เฮอร์เซโกวินา,48,28,0,76
96,ไอร์แลนด์เหนือ / บริติช (OVERSEAS),35,41,0,76
97,สาธารณรัฐซิมบับเว (ZWE) / ซิมบับเว (ZWE),33,43,0,76
98,คอซอวอ / คอซอวอ,38,34,0,72
