ลำดับที่,ประเทศ / สัญชาติ,ชาย,หญิง,ไม่ทราบ,รวม
99,สาธารณรัฐอาเชอร์ไบจาน / อาเซอร์ไบจาน,34,36,0,70
100,เนการาบรูไนดารุสซาลาม / บรูไน,44,24,0,68
101,สาธารณรัฐมอลโดวา / มอลโดวา,23,37,0,60
102,สหพันธ์สาธารณรัฐประชาธิปไตยเอธิโอเปีย / เอธิโอเปีย,18,40,0,58
103,สาธารณรัฐโบลีวาร์แห่งเวเนซุเอลา / เวเนซุเอลา,22,33,0,55
104,สาธารณรัฐจอร์เจีย / จอร์เจียน,23,28,0,51
105,สหพันธ์สาธารณรัฐไนจีเรีย / ไนจีเรียน,25,25,0,50
106,สาธารณรัฐนามิเบีย / นามิเบีย,24,25,0,49
107,สาธารณรัฐอาร์เมเนีย / อาร์เมเนีย,21,26,0,47
108,สาธารณรัฐยูกันดา / ยูกันดา,19,24,0,43
109,ผู้อพยพ (อื่นๆ) / ผู้อพยพ (อื่นๆ),21,22,0,43
110,สหพันธ์สาธารณรัฐอิสลาม / คอโมโรส,34,8,0,42
111,สาธารณรัฐวานูอาทู / วานูอาทูน,33,9,0,42
112,ราชรัฐลิกเตนสไตน์ / ลิกเตนสไตน์,26,15,0,41
113,สาธารณรัฐหมู่เกาะฟิจิ / ฟิจิ,23,10,1,34
114,สาธารณรัฐเอกวาดอร์ / เอกวาดอร์,13,21,0,34
115,เกาะเซนต์คริสโตเฟอร์ / เซนต์คริสโตเฟอรัน,23,9,0,32
116,รัฐอิสลามอัฟกานิสถาน / อัฟกัน,27,4,0,31
117,สาธารณรัฐประชาธิปไตยคองโก / สาธารณรัฐประชาธิปไตยคองโก,22,6,0,28
118,ผู้อพยพ (1951 CONVENTION) / ผู้อพยพ (1951 CONVENTION),19,7,0,26
119,ราชอาณาจักรภูฎาน / ภูฎาน,15,10,0,25
120,เอริเทรีย / เอริเทรีย,17,8,0,25
121,สาธารณรัฐโมซัมบิก / โมซัมบิก,9,15,0,24
122,จาเมกา / จาเมกา,10,13,0,23
123,ไม่มีสัญชาติ / ไม่มีสัญชาติ,16,6,0,22
124,องค์การสหประชาชาติ / องค์การสหประชาชาติ,16,5,0,21
125,สาธารณรัฐมาซิโดเนีย / มาซิโดเนีย,13,8,0,21
126,สาธารณรัฐตรินิแดดและโตเบโก / ตรินิแดดและโตเบโก,13,7,0,20
127,สหสาธารณรัฐแทนซาเนีย / แทนซาเนีย,9,10,0,19
128,มาเก๊า / มาเก๊า,9,9,0,18
129,สาธารณรัฐแคเมอรูน / แคเมอรูน,10,8,0,18
130,สาธารณรัฐกานา / กานา,7,10,0,17
131,เครือรัฐโดมิกา / โดมินิกา,8,8,0,16
132,สาธารณรัฐปานามา / ปานามา,6,10,0,16
133,สาธารณรัฐโดมินิกัน / โดมินิกัน,6,9,0,15
134,สาธารณรัฐคอสตาริกา / คอสตาริกา,12,3,0,15
135,สาธารณรัฐปารากวัย / ปารากวัย,5,10,0,15
136,ราชรัฐอันดอร์รา / อันดอร์รา,9,6,0,15
137,ยูเอ็น / หน่วยงานพิเศษ ยูเอ็น,10,5,0,15
138,สาธารณรัฐแซมเบีย / แซมเบีย,6,8,0,14
139,สาธารณรัฐเซเนกัล / เซเนกัล,7,7,0,14
140,สาธารณรัฐมาลาวี / มาลาวี,6,8,0,14
141,สาธารณรัฐทาจิกิสถาน / ทาจิก,7,7,0,14
142,สาธารณรัฐประชาธิปไตรโซมาลี / โซมาลี,12,1,0,13
143,สาธารณรัฐเอลซัลวาดอร์ / เอลซัลวาดอร์,5,6,0,11
144,สาธารณรัฐซานมารีโน / ซานมารีนาน,9,2,0,11
145,อุรุกวัย / อุรุกวัย,4,7,0,11
146,สาธารณรัฐมอนเตเนโกร / มอนเตรเนโกร,9,2,0,11
147,สาธารณรัฐสังคมนิยมประชาชนอาหรับลิเบีย / ลิเบีย,6,4,0,10
148,รัฐพหุชนชาติแห่งโบลิเวีย / โบลิเวีย,2,8,0,10
149,เบลิซ / เบลิซ,5,4,0,9
150,สาธารณรัฐบอตสวานา / บอตสวานา,4,5,0,9
151,สาธารณรัฐซิมบับเว / ซิมบับเว,4,5,0,9
152,เติร์กเมนิสถาน / เติร์กเมน,3,6,0,9
153,สาธารณรัฐกัวเตมาลา / กัวเตมาลา,3,5,0,8
154,สาธารณรัฐโกตดิวัวร์ / โกตดิวัวร์,5,3,0,8
155,แอนติกาและบาร์บูดา / แอนติกาและบาร์ดา,5,3,0,8
156,เกรนาดา / เกรนาดา,4,4,0,8
157,สาธารณรัฐคิวบา / คิวบา,2,5,0,7
158,ราชอาณาจักรเลโซโท / เลโซโท,2,5,0,7
159,ปาปัวนิวกินี / ปาปัวนิวกินี,4,3,0,7
160,สาธารณรัฐมาดากัสการ์ / มาลากาซี,2,4,0,6
161,ราชรัฐโมนาโก / โมนาโก,3,3,0,6
162,สาธารณรัฐมาลี / มาลี,6,0,0,6
163,สาธารณรัฐซูรินาเม / สุรินัม,1,4,0,5
164,บาร์เบโดส / บาร์เบโดส,2,3,0,5
165,กินี / กิเนียน,4,1,0,5
166,สาธารณรัฐเชียร์ราลีโอน / เชียร์ราลีโอน,3,1,0,4
167,ราชอาณาจักรสวาซิแลนด์ / สวาซี,2,2,0,4
168,สาธารณรัฐนิการากัว / นิการากัว,2,2,0,4
169,เซนต์ลูเซีย / เซนต์ลูเซีย,3,0,0,3
170,สาธารณรัฐกีนี-บิสเซา / กีนีบิสเชา,3,0,0,3
171,สาธารณรัฐฮอนดูรัส / ฮอนดูรัส,3,0,0,3
172,สาธารณรัฐรวันดา / รวันดา,1,2,0,3
173,หมู่เกาะโซโลมอน / หมู่เกาะโซโลมอน,3,0,0,3
174,ราขอาณาจักรตองกา / ตองกา,2,1,0,3
175,สาธารณรัฐสหกรณ์กายอานา / กายอานา,1,2,0,3
176,บูร์กินาฟาโซ / บูร์กินาฟาโซ,2,1,0,3
177,สาธารณรัฐเบนิน / เบนิน,2,1,0,3
178,สาธารณรัฐกาบอง / กาโบนีช,1,2,0,3
179,สาธารณรัฐเซเชลส์ / เซเชลส์,1,2,0,3
180,สาธารณรัฐโตโก / โตโก,2,0,0,2
181,สาธารณรัฐไลบีเรีย / ไลบีเรีย,2,0,0,2
182,สาธารณรัฐเซาท์ซูดาน / สาธารณรัฐเซาท์ซูดาน,0,2,0,2
183,สาธารณรัฐเฮติ / เฮติ,1,1,0,2
184,สาธารณรัฐอิสลามแกมเบีย / แกมเบีย,2,0,0,2
185,สาธารณรัฐอิสลามมอริเตเนีย / มอริเตเนีย,2,0,0,2
186,สาธารณรัฐคองโก / คองโก,1,1,0,2
187,สาธารณรัฐจิบูตี / จีบูเตียน,1,1,0,2
188,สาธารณรัฐเคปเวิร์ด / เคปเวิร์ด,1,0,0,1
189,สาธารณรัฐไนเจอร์ / ไนเจอร์,1,0,0,1
190,เครือรัฐบาฮามาส / บาฮามาส,0,1,0,1
191,สาธารณรัฐชาด / ชาด,1,0,0,1
192,สาธารณรัฐแองโกลา / แองโกลา,1,0,0,1
193,รัฐเอกราชซามัว / ซามวน,1,0,0,1
194,สาธารณรัฐแอฟริกากลาง / แอฟริกันกลาง,0,1,0,1
195,สาธารณรัฐนาอูรู / นาอูรู,1,0,0,1
