_id,ภาค,จังหวัด,รายการ,รายการย่อย,ประเภทผู้เยี่ยมเยือน,2552,2553,2554,2555,2556,2557,2558,2559,2560,2561
1,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จำนวนผู้เยี่ยมเยือน,รวม,รวม,124869207.0,156437103.0,174118377,198987506,217112440,227654055,249074211,265387106,289823283,303019212
2,"","","","",ชาวไทย,97998957.0,122522114.0,133177728,150509362,161724688,170248107,185110333,198787598,217996565,227774133
3,"","","","",ชาวต่างประเทศ,26870250.0,33914989.0,40940649,48478144,55387752,57405948,63963878,66599508,71826718,75245079
4,"","","",จำนวนนักท่องเที่ยว,รวม,77235686.0,96933869.0,111574991,128115561,141849857,147408632,159191352,168971647,184094768,192474950
5,"","","","",ชาวไทย,54698887.0,68463373.0,75698416,86413453,94130688,98902213,106841284,114552814,125471265,130867897
6,"","","","",ชาวต่างประเทศ,22536799.0,28470496.0,35876575,41702108,47719169,48506419,52350068,54418833,58623503,61607053
7,"","","",จำนวนนักทัศนาจร,รวม,47633521.0,59503234.0,62543386,70871945,75262583,80245423,89882859,96415459,105728515,110544262
8,"","","","",ชาวไทย,43300070.0,54058741.0,57479312,64095909,67594000,71345894,78269049,84234784,92525300,96906236
9,"","","","",ชาวต่างประเทศ,4333451.0,5444493.0,5064074,6776036,7668583,8899529,11613810,12180675,13203215,13638026
10,"","",ระยะเวลาพำนักโดยเฉลี่ย (วัน),รวม,รวม,3.16838431279,3.11152627128,3.22688458976185987836515778326429426670074462890625,3.2599999999999997868371792719699442386627197265625,3.20000000000000017763568394002504646778106689453125,3.12999999999999989341858963598497211933135986328125,3.100000000000000088817841970012523233890533447265625,3.149999999999999911182158029987476766109466552734375,3.109999999999999875655021241982467472553253173828125,3.069999999999999840127884453977458178997039794921875
11,"","","","",ชาวไทย,2.35258274469,2.58829582557,2.72604517851079020118731932598166167736053466796875,2.729999999999999982236431605997495353221893310546875,2.70000000000000017763568394002504646778106689453125,2.640000000000000124344978758017532527446746826171875,2.609999999999999875655021241982467472553253173828125,2.569999999999999840127884453977458178997039794921875,2.520000000000000017763568394002504646778106689453125,2.5
12,"","","","",ชาวต่างประเทศ,5.14840986069,4.36974534725,4.2836395922134098412925595766864717006683349609375,4.339999999999999857891452847979962825775146484375,4.1699999999999999289457264239899814128875732421875,4.12999999999999989341858963598497211933135986328125,4.0999999999999996447286321199499070644378662109375,4.36000000000000031974423109204508364200592041015625,4.36000000000000031974423109204508364200592041015625,4.29000000000000003552713678800500929355621337890625
13,"","",ค่าใช้จ่ายโดยเฉลี่ย (บาท/คน/วัน),"","",0.0,0.0,0,,,,,,,
14,"","","",ผู้เยี่ยมเยือน,รวม,2451.12,2504.2746375,2625.16024379418013268150389194488525390625,2765.88999999999987267074175179004669189453125,2897.579999999999927240423858165740966796875,2964.30999999999994543031789362430572509765625,3183.23000000000001818989403545856475830078125,3431.3800000000001091393642127513885498046875,3646.75,3843.6999999999998181010596454143524169921875
15,"","","","",ชาวไทย,1540.63,1740.38356941,1831.529368646690045352443121373653411865234375,1960.25,2053.51999999999998181010596454143524169921875,2116.6199999999998908606357872486114501953125,2248.71999999999979991116560995578765869140625,2329.9600000000000363797880709171295166015625,2421.3000000000001818989403545856475830078125,2526.3000000000001818989403545856475830078125
16,"","","","",ชาวต่างประเทศ,3752.1,3864.72614302,3944.17531794052001714590005576610565185546875,4055.84000000000014551915228366851806640625,4211.6800000000002910383045673370361328125,4311.1800000000002910383045673370361328125,4658.3100000000004001776687800884246826171875,5103.22999999999956344254314899444580078125,5510.0600000000004001776687800884246826171875,5853.84000000000014551915228366851806640625
17,"","","",นักท่องเที่ยว,รวม,2726.68,2778.36788481,2887.20516833165993375587277114391326904296875,3043.61000000000012732925824820995330810546875,3185.5500000000001818989403545856475830078125,3267.86000000000012732925824820995330810546875,3523.78000000000020008883439004421234130859375,3805.5,4056.44000000000005456968210637569427490234375,4283.5500000000001818989403545856475830078125
18,"","","","",ชาวไทย,1723.53,1944.00553377,2042.031867479259972242289222776889801025390625,2195.239999999999781721271574497222900390625,2301.80999999999994543031789362430572509765625,2377.53000000000020008883439004421234130859375,2534.76999999999998181010596454143524169921875,2631.4600000000000363797880709171295166015625,2740.90999999999985448084771633148193359375,2865.59999999999990905052982270717620849609375
19,"","","","",ชาวต่างประเทศ,3839.25,3966.80372619,4022.0636565315899133565835654735565185546875,4152.1999999999998181010596454143524169921875,4314.3199999999997089616954326629638671875,4428.25,4808.7100000000000363797880709171295166015625,5262.2200000000002546585164964199066162109375,5683.8000000000001818989403545856475830078125,6038.8199999999997089616954326629638671875
20,"","","",นักทัศนาจร,รวม,1035.43,1114.94024862,1116.66252978701004394679330289363861083984375,1131.2899999999999636202119290828704833984375,1163.670000000000072759576141834259033203125,1218.779999999999972715158946812152862548828125,1313.4600000000000363797880709171295166015625,1368.450000000000045474735088646411895751953125,1431.140000000000100044417195022106170654296875,1490.319999999999936335370875895023345947265625
21,"","","","",ชาวไทย,997.08,1072.91487764,1075.8013301056998898275196552276611328125,1093.990000000000009094947017729282379150390625,1119.970000000000027284841053187847137451171875,1161.759999999999990905052982270717620849609375,1229.579999999999927240423858165740966796875,1276.23000000000001818989403545856475830078125,1329.0399999999999636202119290828704833984375,1380.759999999999990905052982270717620849609375
